"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2362553","Nele  Andersen and Krzysztof  Czarnecki and Steven  She and Andrzej  W&#261;sowski","","","","Efficient Synthesis of Feature Models","106--115","","10","feature models, software product lines, variability models","10.1145/2362536.2362553","","","","","","","2012","","Proceedings of the 16th International Software Product Line Conference - Volume 1","SPLC '12","","978-1-4503-1094-9","Salvador, Brazil","ACM","New York, NY, USA"
"article","1555516","Michael G. Christel and Robert V. Baron and Geoff  Froh and Dan  Benson and Julieanna  Richardson","","","","Accessing the Densho and Historymakers Oral History Collections via Informedia Technologies","465--466","","2","digital video library, oral histories, video retrieval","10.1145/1555400.1555516","","","","","","","2009","","Proceedings of the 9th ACM/IEEE-CS Joint Conference on Digital Libraries","JCDL '09","","978-1-60558-322-8","Austin, TX, USA","ACM","New York, NY, USA"
"article","2467783","Michael  Huggett and Edie  Rasmussen","","","","User Interface Evaluation of Meta-indexes for Search","435--436","","2","digital books, digital collections, digital libraries, indexes","10.1145/2467696.2467783","","","","","","","2013","","Proceedings of the 13th ACM/IEEE-CS Joint Conference on Digital Libraries","JCDL '13","","978-1-4503-2077-1","Indianapolis, Indiana, USA","ACM","New York, NY, USA"
"article","2909453","Issam  Said and Pierre  Fortin and Jean-Luc  Lamotte and Henri  Calandra","","","","hiCL: An OpenCL Abstraction Layer for Scientific Computing, Application to Depth Imaging on GPU and APU","14:1--14:3","14","3","APU, GPU, OpenCL, RTM, programming tools, software abstraction","10.1145/2909437.2909453","","","","","","","2016","","Proceedings of the 4th International Workshop on OpenCL","IWOCL '16","","978-1-4503-4338-1","Vienna, Austria","ACM","New York, NY, USA"
"article","1094940","Faizan  Javed","","","","Inferring Context-free Grammars for Domain-specific Languages","212--213","","2","context-free grammars, data mining, domain-specific languages, grammar inference","10.1145/1094855.1094940","","","","","","","2005","","Companion to the 20th Annual ACM SIGPLAN Conference on Object-oriented Programming, Systems, Languages, and Applications","OOPSLA '05","","1-59593-193-7","San Diego, CA, USA","ACM","New York, NY, USA"
"article","1555723","Junhee  Lee and Kyunghan  Lee and Jinsung  Lee and Jaesung  Jung and Song  Chong","","","","A TCP Starvation Problem in Combining TCP and Max-weight Scheduling of Cross-layer Algorithms in WMNs","48--51","","4","TCP starvation, cross-layer algorithms, max-weight scheduling, wireless mesh networks","10.1145/1555697.1555723","","","","","","","2009","","Proceedings of the 4th International Conference on Future Internet Technologies","CFI '09","","978-1-60558-686-1","Seoul, Korea","ACM","New York, NY, USA"
"article","1297966","Sam  Peng and Ying  Hu","","","","IAnticorruption: A Domain-driven Design Approach to More Robust Integration","976--982","","7","anti-corruption layer, domain model, domain-driven design, integration, observer pattern","10.1145/1297846.1297966","","","","","","","2007","","Companion to the 22Nd ACM SIGPLAN Conference on Object-oriented Programming Systems and Applications Companion","OOPSLA '07","","978-1-59593-865-7","Montreal, Quebec, Canada","ACM","New York, NY, USA"
"article","1958792","Issam  Al-Azzoni and Lei  Zhang and Douglas G. Down","","","","Performance Evaluation for Software Migration","323--328","","6","","10.1145/1958746.1958792","","","","","","","2011","","Proceedings of the 2Nd ACM/SPEC International Conference on Performance Engineering","ICPE '11","","978-1-4503-0519-8","Karlsruhe, Germany","ACM","New York, NY, USA"
"article","2770944","Alimohammad  Rabbani and Srinivasan  Keshav","","","","The Spot* System for Flexible Personal Heating and Cooling","209--210","","2","energy management, human thermal comfort, hvac, personalization","10.1145/2768510.2770944","","","","","","","2015","","Proceedings of the 2015 ACM Sixth International Conference on Future Energy Systems","e-Energy '15","","978-1-4503-3609-3","Bangalore, India","ACM","New York, NY, USA"
"article","986047","Les  Nelson and Elizabeth F. Churchill and Laurent  Denoue and Jonathan  Helfman and Paul  Murphy","","","","Gooey Interfaces: An Approach for Rapidly Repurposing Digital Content","1293--1296","","4","content repurposing, interactive public displays","10.1145/985921.986047","","","","","","","2004","","CHI '04 Extended Abstracts on Human Factors in Computing Systems","CHI EA '04","","1-58113-703-6","Vienna, Austria","ACM","New York, NY, USA"
"article","2750391","Bruno Cardoso Lopes and Rafael  Auler and Luiz  Ramos and Edson  Borin and Rodolfo  Azevedo","","","","SHRINK: Reducing the ISA Complexity via Instruction Recycling","311--322","","12","","10.1145/2872887.2750391","SIGARCH Comput. Archit. News","June 2015","43","3","","June","2015","0163-5964","","","","","","ACM","New York, NY, USA"
"article","2750391","Bruno Cardoso Lopes and Rafael  Auler and Luiz  Ramos and Edson  Borin and Rodolfo  Azevedo","","","","SHRINK: Reducing the ISA Complexity via Instruction Recycling","311--322","","12","","10.1145/2749469.2750391","","","","","","","2015","","Proceedings of the 42Nd Annual International Symposium on Computer Architecture","ISCA '15","","978-1-4503-3402-0","Portland, Oregon","ACM","New York, NY, USA"
"article","2983957","Marcel  Zalmanovici and Orna  Raz and Rachel  Tzoref-Brill","","","","Cluster-based Test Suite Functional Analysis","962--967","","6","Cluster-based testing, Combinatorial testing","10.1145/2950290.2983957","","","","","","","2016","","Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering","FSE 2016","","978-1-4503-4218-6","Seattle, WA, USA","ACM","New York, NY, USA"
"article","2342411","Steven  Hong and Jeffrey  Mehlman and Sachin  Katti","","","","Picasso: Flexible RF and Spectrum Slicing","283--284","","2","interference cancellation, radio virtualization","10.1145/2342356.2342411","","","","","","","2012","","Proceedings of the ACM SIGCOMM 2012 Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication","SIGCOMM '12","","978-1-4503-1419-0","Helsinki, Finland","ACM","New York, NY, USA"
"article","2232037","Sanghyun  Han and Hyun-Wook  Jin","","","","Kernel-level ARINC 653 Partitioning for Linux","1632--1637","","6","ARINC 653, Linux, hierarchical scheduling, partitioning","10.1145/2245276.2232037","","","","","","","2012","","Proceedings of the 27th Annual ACM Symposium on Applied Computing","SAC '12","","978-1-4503-0857-1","Trento, Italy","ACM","New York, NY, USA"
"article","1028978","Daniel  von Dincklage and Amer  Diwan","","","","Converting Java Classes to Use Generics","1--14","","14","generics, parametric polymorphism, type inference","10.1145/1035292.1028978","SIGPLAN Not.","October 2004","39","10","","October","2004","0362-1340","","","","","","ACM","New York, NY, USA"
"article","1028978","Daniel  von Dincklage and Amer  Diwan","","","","Converting Java Classes to Use Generics","1--14","","14","generics, parametric polymorphism, type inference","10.1145/1028976.1028978","","","","","","","2004","","Proceedings of the 19th Annual ACM SIGPLAN Conference on Object-oriented Programming, Systems, Languages, and Applications","OOPSLA '04","","1-58113-831-8","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","1984726","Stefanos  Zachariadis and Tim  Cianchi","","","","Architecting a Plug-in Based Steam Turbine Design Tool","57--57","","1","dynamic graph, eclipse rcp, osgi, turbine engineering","10.1145/1984708.1984726","","","","","","","2011","","Proceedings of the 1st Workshop on Developing Tools As Plug-ins","TOPI '11","","978-1-4503-0599-0","Waikiki, Honolulu, HI, USA","ACM","New York, NY, USA"
"article","1988026","Mahdi  Derakhshanmanesh and Mehdi  Amoui and Greg  O'Grady and J&#252;rgen  Ebert and Ladan  Tahvildari","","","","GRAF: Graph-based Runtime Adaptation Framework","128--137","","10","adaptation framework, model transformation, models at runtime, runtime adaptivity, self-adaptive software","10.1145/1988008.1988026","","","","","","","2011","","Proceedings of the 6th International Symposium on Software Engineering for Adaptive and Self-Managing Systems","SEAMS '11","","978-1-4503-0575-4","Waikiki, Honolulu, HI, USA","ACM","New York, NY, USA"
"article","1080786","Miika  Komu and Sasu  Tarkoma and Jaakko  Kangasharju and Andrei  Gurtov","","","","Applying a Cryptographic Namespace to Applications","23--27","","5","host identity protocol, personal mobility, referral, sockets API","10.1145/1080776.1080786","","","","","","","2005","","Proceedings of the 1st ACM Workshop on Dynamic Interconnection of Networks","DIN '05","","1-59593-144-9","Cologne, Germany","ACM","New York, NY, USA"
"article","2945416","Stefanie  Scherzinger and Stephanie  Sombach and Katharina  Wiech and Meike  Klettke and Uta  St&#246;rl","","","","Datalution: A Tool for Continuous Schema Evolution in NoSQL-backed Web Applications","38--39","","2","NoSQL data stores, Schema evolution, Software evolution","10.1145/2945408.2945416","","","","","","","2016","","Proceedings of the 2Nd International Workshop on Quality-Aware DevOps","QUDOS 2016","","978-1-4503-4411-1","Saarbr&#252;cken, Germany","ACM","New York, NY, USA"
"article","2914646","Haining  Chen and Omar  Chowdhury and Ninghui  Li and Warut  Khern-am-nuai and Suresh  Chari and Ian  Molloy and Youngja  Park","","","","Tri-Modularization of Firewall Policies","37--48","","12","firewall policies, firewall tool, modularization","10.1145/2914642.2914646","","","","","","","2016","","Proceedings of the 21st ACM on Symposium on Access Control Models and Technologies","SACMAT '16","","978-1-4503-3802-8","Shanghai, China","ACM","New York, NY, USA"
"article","1742142","V. S. Vairale and K. N. Honwadkar","","","","Automatic Wrapper Generator for Grid Computing","998--998","","1","","10.1145/1741906.1742142","","","","","","","2010","","Proceedings of the International Conference and Workshop on Emerging Trends in Technology","ICWET '10","","978-1-60558-812-4","Mumbai, Maharashtra, India","ACM","New York, NY, USA"
"article","2962734","Roberto E. Lopez-Herrejon and Jabier  Martinez and Tewfik  Ziadi and Mathieu  Acher","","","","Fourth International Workshop on Reverse Variability Engineering (REVE 2016)","345--345","","1","extractive product line adoption, mining existing assets, reverse engineering, software product line engineering","10.1145/2934466.2962734","","","","","","","2016","","Proceedings of the 20th International Systems and Software Product Line Conference","SPLC '16","","978-1-4503-4050-2","Beijing, China","ACM","New York, NY, USA"
"article","2856481","William  Jones and Victoria  Bellotti and Robert  Capra and Jesse David Dinneen and Gloria  Mark and Catherine  Marshall and Karyn  Moffatt and Jaime  Teevan and Maximus  Van Kleek","","","","For Richer, for Poorer, in Sickness or in Health...: The Long-Term Management of Personal Information","3508--3515","","8","PIM, aging, information curation, personal digital archiving, personal information management","10.1145/2851581.2856481","","","","","","","2016","","Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '16","","978-1-4503-4082-3","Santa Clara, California, USA","ACM","New York, NY, USA"
"article","2491409","Jan  Vitek","","","","History-based Security for JavaScript","16--16","","1","","10.1145/2491404.2491409","","","","","","","2013","","Proceedings of the 8th Workshop on Implementation, Compilation, Optimization of Object-Oriented Languages, Programs and Systems","ICOOOLPS'13","","978-1-4503-2045-0","Montpellier, France","ACM","New York, NY, USA"
"article","1364080","Laurent  Broto and Daniel  Hagimont and Patricia  Stolf and Noel  Depalma and Suzy  Temate","","","","Autonomic Management Policy Specification in Tune","1658--1663","","6","administration, autonomic system, deployment, reconfiguration","10.1145/1363686.1364080","","","","","","","2008","","Proceedings of the 2008 ACM Symposium on Applied Computing","SAC '08","","978-1-59593-753-7","Fortaleza, Ceara, Brazil","ACM","New York, NY, USA"
"article","2638462","Ahmed  Al-hamadani and William H. Allen","","","","RAAODV: A Reputation-aware AODV for Mobile Ad Hoc Networks","6:1--6:6","6","6","","10.1145/2638404.2638462","","","","","","","2014","","Proceedings of the 2014 ACM Southeast Regional Conference","ACM SE '14","","978-1-4503-2923-1","Kennesaw, Georgia","ACM","New York, NY, USA"
"article","2541602","Hui  Lu and Nipun  Arora and Hui  Zhang and Cristian  Lumezanu and Junghwan  Rhee and Guofei  Jiang","","","","HybNET: Network Manager for a Hybrid Network Infrastructure","6:1--6:6","6","6","SDN, cloud, network architecture, virtualization","10.1145/2541596.2541602","","","","","","","2013","","Proceedings of the Industrial Track of the 13th ACM/IFIP/USENIX International Middleware Conference","Middleware Industry '13","","978-1-4503-2550-9","Beijing, China","ACM","New York, NY, USA"
"article","949428","Hoi  Chan and Trieu C. Chieu","","","","An Approach to Monitor Application States for Self-managing (Autonomic) Systems","312--313","","2","aspect, autonomic, monitor, self-management","10.1145/949344.949428","","","","","","","2003","","Companion of the 18th Annual ACM SIGPLAN Conference on Object-oriented Programming, Systems, Languages, and Applications","OOPSLA '03","","1-58113-751-6","Anaheim, CA, USA","ACM","New York, NY, USA"
"article","967915","Dionisis  Kehagias and Andreas L. Symeonidis and Kyriakos C. Chatzidimitriou and Pericles A. Mitkas","","","","Information Agents Cooperating with Heterogenous Data Sources for Customer-order Management","52--57","","6","customer-order management, enterprise resource planning, information agents","10.1145/967900.967915","","","","","","","2004","","Proceedings of the 2004 ACM Symposium on Applied Computing","SAC '04","","1-58113-812-1","Nicosia, Cyprus","ACM","New York, NY, USA"
"article","2858485","Raf  Ramakers and Fraser  Anderson and Tovi  Grossman and George  Fitzmaurice","","","","RetroFab: A Design Tool for Retrofitting Physical Interfaces Using Actuators, Sensors and 3D Printing","409--419","","11","augmentation, fabrication, physical interface, reverse engineering","10.1145/2858036.2858485","","","","","","","2016","","Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems","CHI '16","","978-1-4503-3362-7","Santa Clara, California, USA","ACM","New York, NY, USA"
"article","2817487","Nanshan  Zeng and Stephen R. Schach","","","","Is the Object-oriented Paradigm Appropriate for Scientific Software?","98--105","","8","","10.1145/2817460.2817487","","","","","","","1997","","Proceedings of the 35th Annual Southeast Regional Conference","ACM-SE 35","","0-89791-925-4","Murfreesboro, Tennessee","ACM","New York, NY, USA"
"article","368064","Ladan  Tahvildari and Kostas  Kontogiannis","","","","A Workbench for Quality Based Software Re-engineering (Doctoral Symposium)","157--158","","2","software architecture, software migration, software quality","10.1145/367845.368064","","","","","","","2000","","Addendum to the 2000 Proceedings of the Conference on Object-oriented Programming, Systems, Languages, and Applications (Addendum)","OOPSLA '00","","1-58113-307-3","Minneapolis, Minnesota, USA","ACM","New York, NY, USA"
"article","2925457","Joffrey  Decourselle and Fabien  Duchateau and Trond  Aalberg and Naimdjon  Takhirov and Nicolas  Lumineau","","","","Open Datasets for Evaluating the Interpretation of Bibliographic Records","253--254","","2","dataset, frbr, frbrization, migration, record interpretation","10.1145/2910896.2925457","","","","","","","2016","","Proceedings of the 16th ACM/IEEE-CS on Joint Conference on Digital Libraries","JCDL '16","","978-1-4503-4229-2","Newark, New Jersey, USA","ACM","New York, NY, USA"
"article","2656291","Maria  Lantin and Keith  Doyle","","","","Virtual and Material: Applied Research at Emily Carr University","8:1--8:1","8","1","3D prototyping and printing, applied research, art and design, materials, stereoscopic 3D, virtual reality","10.1145/2619195.2656291","","","","","","","2014","","ACM SIGGRAPH 2014 Studio","SIGGRAPH '14","","978-1-4503-2977-4","Vancouver, Canada","ACM","New York, NY, USA"
"article","2790014","Florian  Schmidt and Oliver  Hohlfeld and Ren&#233;  Glebke and Klaus  Wehrle","","","","Santa: Faster Packet Delivery for Commonly Wished Replies","597--598","","2","","10.1145/2829988.2790014","SIGCOMM Comput. Commun. Rev.","October 2015","45","4","","August","2015","0146-4833","","","","","","ACM","New York, NY, USA"
"article","2790014","Florian  Schmidt and Oliver  Hohlfeld and Ren&#233;  Glebke and Klaus  Wehrle","","","","Santa: Faster Packet Delivery for Commonly Wished Replies","597--598","","2","","10.1145/2785956.2790014","","","","","","","2015","","Proceedings of the 2015 ACM Conference on Special Interest Group on Data Communication","SIGCOMM '15","","978-1-4503-3542-3","London, United Kingdom","ACM","New York, NY, USA"
"article","971331","Andrew T. Phillips","","","","Highlighting Programming Language Issues Using Mixed Language Programming Nn Maple and C","85--89","","5","C, Maple, mixed language programming","10.1145/1028174.971331","SIGCSE Bull.","March 2004","36","1","","March","2004","0097-8418","","","","","","ACM","New York, NY, USA"
"article","971331","Andrew T. Phillips","","","","Highlighting Programming Language Issues Using Mixed Language Programming Nn Maple and C","85--89","","5","C, Maple, mixed language programming","10.1145/971300.971331","","","","","","","2004","","Proceedings of the 35th SIGCSE Technical Symposium on Computer Science Education","SIGCSE '04","","1-58113-798-2","Norfolk, Virginia, USA","ACM","New York, NY, USA"
"article","1630048","Charles E. Leiserson","","","","The Cilk++ Concurrency Platform","522--527","","6","Amdahl's Law, dag model, hyperobject, multicore programming, multithreading, parallel programming, parallelism, race detection, reducer, span, speedup, work","10.1145/1629911.1630048","","","","","","","2009","","Proceedings of the 46th Annual Design Automation Conference","DAC '09","","978-1-60558-497-3","San Francisco, California","ACM","New York, NY, USA"
"article","2442907","Sidharth  Chhabra and Joyojeet  Pal and Dhruv  Goel","","","","Action Will Be Taken: Delhi Traffic Police@FB","19:1--19:2","19","2","Facebook, eGovernance, police, social networking, traffic","10.1145/2442882.2442907","","","","","","","2013","","Proceedings of the 3rd ACM Symposium on Computing for Development","ACM DEV '13","","978-1-4503-1856-3","Bangalore, India","ACM","New York, NY, USA"
"article","1297082","Mark Samuel Miller","","","","Tradeoffs in Retrofitting Security: An Experience Report","1--1","","1","access control, language, object-capability, security","10.1145/1297081.1297082","","","","","","","2007","","Proceedings of the 2007 Symposium on Dynamic Languages","DLS '07","","978-1-59593-868-8","Montreal, Quebec, Canada","ACM","New York, NY, USA"
"article","1394686","Keith  Elliott and David  Hutchison","","","","Stereoscopic Architecture of 3-D Ready DLP-based HDTVs","12:1--12:4","12","4","3-D, DLP, HDTV, stereoscopic","10.1145/1394669.1394686","","","","","","","2008","","Proceedings of the 2008 Workshop on Immersive Projection Technologies/Emerging Display Technologiges","IPT/EDT '08","","978-1-60558-212-2","Los Angeles, California","ACM","New York, NY, USA"
"article","2169093","Malte  Schwarzkopf and Steven  Hand","","","","A Down-to-earth Look at the Cloud Host OS","3:1--3:5","3","5","","10.1145/2169090.2169093","","","","","","","2012","","Proceedings of the 1st International Workshop on Hot Topics in Cloud Data Processing","HotCDP '12","","978-1-4503-1162-5","Bern, Switzerland","ACM","New York, NY, USA"
"article","1094955","Faizan  Javed","","","","Inferring Context-free Grammars for Domain-specific Languages","242--243","","2","context-free grammars, data mining, domain-specific languages, grammar inference","10.1145/1094855.1094955","","","","","","","2005","","Companion to the 20th Annual ACM SIGPLAN Conference on Object-oriented Programming, Systems, Languages, and Applications","OOPSLA '05","","1-59593-193-7","San Diego, CA, USA","ACM","New York, NY, USA"
"article","1031612","Li-Te  Cheng and Steven L. Rohall and John  Patterson and Steven  Ross and Susanne  Hupfer","","","","Retrofitting Collaboration into UIs with Aspects","25--28","","4","CSCW, application retrofitting, aspect-oriented programming, groupware, user interface components","10.1145/1031607.1031612","","","","","","","2004","","Proceedings of the 2004 ACM Conference on Computer Supported Cooperative Work","CSCW '04","","1-58113-810-5","Chicago, Illinois, USA","ACM","New York, NY, USA"
"article","2467794","Douglas W. Oard and Joseph  Malionek","","","","The Apollo Archive Explorer","453--454","","2","archival sources, information integration, streaming media","10.1145/2467696.2467794","","","","","","","2013","","Proceedings of the 13th ACM/IEEE-CS Joint Conference on Digital Libraries","JCDL '13","","978-1-4503-2077-1","Indianapolis, Indiana, USA","ACM","New York, NY, USA"
"article","2261677","Mart&#237;n Monroy R. and Jos&#233; L. Arciniegas H. and Julio Rodr&#237;guez R.","","","","Framework for Recovery and Analysis of Behavioral Architectural Views","430--433","","4","analysis of architectural views, architecture recovery, reverse engineering","10.1145/2261605.2261677","","","","","","","2012","","Proceedings of the 6th Euro American Conference on Telematics and Information Systems","EATIS '12","","978-1-4503-1012-3","Valencia, Spain","ACM","New York, NY, USA"
"article","1449908","Ritu  Arora","","","","Raising the Level of Abstraction of Application-level Checkpointing","919--920","","2","checkpointing, domain-specific language","10.1145/1449814.1449908","","","","","","","2008","","Companion to the 23rd ACM SIGPLAN Conference on Object-oriented Programming Systems Languages and Applications","OOPSLA Companion '08","","978-1-60558-220-7","Nashville, TN, USA","ACM","New York, NY, USA"
"article","1167276","Taskin  Kocak","","","","An Architecture for High-speed Execution of Upper Layer (4-7) Network Protocols","96--97","","2","higher layer network protocols and services, network processors","10.1145/1167253.1167276","","","","","","","2005","","Proceedings of the 43rd Annual Southeast Regional Conference - Volume 2","ACM-SE 43","","1-59593-059-0","Kennesaw, Georgia","ACM","New York, NY, USA"
"article","191140","Bob  Beck and Steve  Hartley","","","","Persistent Storage for a Workflow Tool Implemented in Smalltalk","373--387","","15","","10.1145/191080.191140","","","","","","","1994","","Proceedings of the Ninth Annual Conference on Object-oriented Programming Systems, Language, and Applications","OOPSLA '94","","0-89791-688-3","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","191140","Bob  Beck and Steve  Hartley","","","","Persistent Storage for a Workflow Tool Implemented in Smalltalk","373--387","","15","","10.1145/191081.191140","SIGPLAN Not.","Oct. 1994","29","10","","October","1994","0362-1340","","","","","","ACM","New York, NY, USA"
"article","1363750","Yvonne  Coady and Corrado  Santoro and Emiliano  Tramontana and Ian  Welch","","","","Special Track on Programming for Separation of Concerns: Editorial Message","251--252","","2","","10.1145/1363686.1363750","","","","","","","2008","","Proceedings of the 2008 ACM Symposium on Applied Computing","SAC '08","","978-1-59593-753-7","Fortaleza, Ceara, Brazil","ACM","New York, NY, USA"
"article","2822313","Martin  Schoeberl","","","","Scala for Real-Time Systems?","13:1--13:5","13","5","Real-time systems, Scala, real-time Java","10.1145/2822304.2822313","","","","","","","2015","","Proceedings of the 13th International Workshop on Java Technologies for Real-time and Embedded Systems","JTRES '15","","978-1-4503-3644-4","Paris, France","ACM","New York, NY, USA"
"article","2422615","Theodore  Dalamagas and Nikos  Bikakis and George  Papastefanatos and Yannis  Stavrakas and Artemis G. Hatzigeorgiou","","","","Publishing Life Science Data As Linked Open Data: The Case Study of miRBase","70--77","","8","","10.1145/2422604.2422615","","","","","","","2012","","Proceedings of the First International Workshop on Open Data","WOD '12","","978-1-4503-1404-6","Nantes, France","ACM","New York, NY, USA"
"article","2018502","Ang  Li and Xuanran  Zong and Srikanth  Kandula and Xiaowei  Yang and Ming  Zhang","","","","CloudProphet: Towards Application Performance Prediction in Cloud","426--427","","2","cloud computing, performance, prediction","10.1145/2043164.2018502","SIGCOMM Comput. Commun. Rev.","August 2011","41","4","","August","2011","0146-4833","","","","","","ACM","New York, NY, USA"
"article","2018502","Ang  Li and Xuanran  Zong and Srikanth  Kandula and Xiaowei  Yang and Ming  Zhang","","","","CloudProphet: Towards Application Performance Prediction in Cloud","426--427","","2","cloud computing, performance, prediction","10.1145/2018436.2018502","","","","","","","2011","","Proceedings of the ACM SIGCOMM 2011 Conference","SIGCOMM '11","","978-1-4503-0797-0","Toronto, Ontario, Canada","ACM","New York, NY, USA"
"article","2620775","Michael  O'Neill and Andrew  Wells and Xin  Sun","","","","Towards a Novel and Optimal Packet Identifier Design for SDN","223--224","","2","identifier design, rule aggregation, sdn","10.1145/2620728.2620775","","","","","","","2014","","Proceedings of the Third Workshop on Hot Topics in Software Defined Networking","HotSDN '14","","978-1-4503-2989-7","Chicago, Illinois, USA","ACM","New York, NY, USA"
"article","2932428","Hartmut  Koenitz","","","","Design Strategies for Interactive Digital Narratives","189--191","","3","authoring, interactive design strategies, interactive digital narrative, narrative design","10.1145/2932206.2932428","","","","","","","2016","","Proceedings of the ACM International Conference on Interactive Experiences for TV and Online Video","TVX '16","","978-1-4503-4067-0","Chicago, Illinois, USA","ACM","New York, NY, USA"
"article","1878337","Charles M. Kiriakou","","","","Lessons from a Major IT Downsizing Effort","265--266","","2","","10.1145/1878335.1878337","","","","","","","2010","","Proceedings of the 38th  Annual ACM SIGUCCS Fall Conference: Navigation and Discovery","SIGUCCS '10","","978-1-4503-0003-2","Norfolk, Virginia, USA","ACM","New York, NY, USA"
"article","1164741","Diego  Dujovne and Thierry  Turletti","","","","Multicast in 802.11 WLANs: An Experimental Study","130--138","","9","IEEE 802.11 WLAN, multicast transmission, packet loss correlation, wireless measurement","10.1145/1164717.1164741","","","","","","","2006","","Proceedings of the 9th ACM International Symposium on Modeling Analysis and Simulation of Wireless and Mobile Systems","MSWiM '06","","1-59593-477-4","Terromolinos, Spain","ACM","New York, NY, USA"
"article","1979311","Dorrit  Billman and Lucia  Arsintescucu and Michael  Feary and Jessica  Lee and Asha  Smith and Rachna  Tiwary","","","","Benefits of Matching Domain Structure for Planning Software: The Right Stuff","2521--2530","","10","aeroastronautics, complex work domains, planning","10.1145/1978942.1979311","","","","","","","2011","","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","CHI '11","","978-1-4503-0228-9","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","1980222","M.  Sayyad and N.  Ansari and S.  Burli and H.  Shah and A.  Khatanhar","","","","Review of IP Multimedia Subsystem","937--941","","5","AS, CSCF, HSS, IMS, SIP, architecture, classification, review, services","10.1145/1980022.1980222","","","","","","","2011","","Proceedings of the International Conference &#38; Workshop on Emerging Trends in Technology","ICWET '11","","978-1-4503-0449-8","Mumbai, Maharashtra, India","ACM","New York, NY, USA"
"article","2808071","Sambasivam  Ramasubramanian and Sam  Chung and Seungwan  Ryu and Ling  Ding","","","","Secure and Smart Media Sharing Based on a Novel Mobile Device-to-Device Communication Framework with Security and Procedures","35--40","","6","business model, d2d communication framework, long term evolution-advanced (lte-a), security, traffic congestion","10.1145/2808062.2808071","","","","","","","2015","","Proceedings of the 4th Annual ACM Conference on Research in Information Technology","RIIT '15","","978-1-4503-3836-3","Chicago, Illinois, USA","ACM","New York, NY, USA"
"article","1600186","Jon A. Solworth","","","","Robustly Secure Computer Systems: A New Security Paradigm of System Discontinuity","55--65","","11","application programming interface, design for security, operating systems, security, virtual machines","10.1145/1600176.1600186","","","","","","","2008","","Proceedings of the 2007 Workshop on New Security Paradigms","NSPW '07","","978-1-60558-080-7","New Hampshire","ACM","New York, NY, USA"
"article","1577385","Pin-Hsun  Lin and Tong-Hua  Hsieh and Hsuan-Jung  Su","","","","Resource Allocation for Cognitive Radio: A Nonlinear Programming Approach","3:1--3:7","3","7","","10.1145/1577382.1577385","","","","","","","2007","","First International Workshop on Cognitive Wireless Networks","CWNETS '07","","978-1-60558-868-1","Vancouver, Canada","ACM","New York, NY, USA"
"article","2712400","Jonathan C. Beard and Peng  Li and Roger D. Chamberlain","","","","RaftLib: A C++ Template Library for High Performance Stream Parallel Processing","96--105","","10","","10.1145/2712386.2712400","","","","","","","2015","","Proceedings of the Sixth International Workshop on Programming Models and Applications for Multicores and Manycores","PMAM '15","","978-1-4503-3404-4","San Francisco, California","ACM","New York, NY, USA"
"article","1730893","Girish Maskeri Rama","","","","A Desiderata for Refactoring-based Software Modularity Improvement","93--102","","10","code smells, preventive maintenance, software maintenance, software modularity, software refactoring","10.1145/1730874.1730893","","","","","","","2010","","Proceedings of the 3rd India Software Engineering Conference","ISEC '10","","978-1-60558-922-0","Mysore, India","ACM","New York, NY, USA"
"article","900092","Kimihito  Ito and Yuzuru  Tanaka","","","","A Visual Environment for Dynamic Web Application Composition","184--193","","10","hypermedia, intelligentPad, personalization, web application linkage, web application wrapping","10.1145/900051.900092","","","","","","","2003","","Proceedings of the Fourteenth ACM Conference on Hypertext and Hypermedia","HYPERTEXT '03","","1-58113-704-4","Nottingham, UK","ACM","New York, NY, USA"
"article","1052911","Li-Te  Cheng and John  Patterson and Steven L. Rohall and Susanne  Hupfer and Steven  Ross","","","","Weaving a Social Fabric into Existing Software","147--158","","12","application retrofitting, aspect oriented programming, computer supported cooperative work, groupware, software reuse","10.1145/1052898.1052911","","","","","","","2005","","Proceedings of the 4th International Conference on Aspect-oriented Software Development","AOSD '05","","1-59593-042-6","Chicago, Illinois","ACM","New York, NY, USA"
"article","2934735","Est&#237;baliz  Iglesias-Franjo and Jes&#250;s  Vilares","","","","Any Papyrus About a Hand over a Stool and a Bread Loaf, Followed by a Boat?: Dealing with Hieroglyphic Texts in IR","4:1--4:8","4","8","Text retrieval, digital heritage, egyptian hieroglyphs, egyptology, manuel de codage","10.1145/2934732.2934735","","","","","","","2016","","Proceedings of the 4th Spanish Conference on Information Retrieval","CERI '16","","978-1-4503-4141-7","Granada, Spain","ACM","New York, NY, USA"
